ts,mbps,fps,bytes_sent,interval_s
2025-11-01T23:51:21Z,0.02292,30.04457277616494,2865,0.031897559
2025-11-01T23:51:21Z,0.06324,29.795768945474745,7905,0.035229396
2025-11-01T23:51:21Z,0.04192,29.951611113073564,5240,0.0321648
2025-11-01T23:51:21Z,0.03508,29.88364841335126,4385,0.034070561
2025-11-01T23:51:21Z,0.00828,30.00777255323119,1035,0.032078948
2025-11-01T23:51:21Z,0.050856,29.786310113847637,6357,0.036050175
2025-11-01T23:51:21Z,0.006784,29.99742772057296,848,0.030737131
2025-11-01T23:51:21Z,0.054152,29.677046752520905,6769,0.038014678
2025-11-01T23:51:21Z,0.065792,29.74070003477049,8224,0.032686411
2025-11-01T23:51:21Z,0.05644,29.79926855112738,7055,0.032632671
2025-11-01T23:51:21Z,0.02488,29.99452777960531,3110,0.030062575
2025-11-01T23:51:21Z,0.056904,29.806562423182353,7113,0.036913565
2025-11-01T23:51:21Z,0.037632,29.922983477052178,4704,0.031200095
2025-11-01T23:51:21Z,0.069696,29.78527220374626,8712,0.036354861
2025-11-01T23:51:21Z,0.041336,29.933999288286238,5167,0.030237427
2025-11-01T23:51:21Z,0.07504,29.789157408022774,9380,0.036817898
2025-11-01T23:51:21Z,0.227992,29.28875939523659,28499,0.046186928
2025-11-01T23:51:21Z,0.014784,29.81599103909687,1848,0.02025673
2025-11-01T23:51:21Z,0.014784,30.009395003782092,1848,0.028351406
2025-11-01T23:51:22Z,0.061336,29.85010339544484,7667,0.037768492
2025-11-01T23:51:22Z,0.029184,30.00279516425333,3648,0.029067888
2025-11-01T23:51:22Z,0.061352,29.880767470779258,7669,0.037005324
2025-11-01T23:51:22Z,0.04364,29.937775381691296,5455,0.031681985
2025-11-01T23:51:22Z,0.064,29.879921620803007,8000,0.035278174
2025-11-01T23:51:22Z,0.038848,29.951264231331965,4856,0.031075761
2025-11-01T23:51:22Z,0.036952,28.681581414059902,4619,0.034865581
2025-11-01T23:51:22Z,0.051048,29.553175782791957,6381,0.032809041
2025-11-01T23:51:22Z,0.014688,30.449893213746993,1836,0.030847891
2025-11-01T23:51:22Z,0.037232,29.75899705990037,4654,0.035890619
2025-11-01T23:51:22Z,0.041264,30.014579281740314,5158,0.032172578
2025-11-01T23:51:22Z,0.066544,29.653222612153865,8318,0.035753175
2025-11-01T23:51:22Z,0.046304,29.95438870906461,5788,0.031349743
2025-11-01T23:51:22Z,0.0422,30.022113951387812,5275,0.032781615
2025-11-01T23:51:22Z,0.051296,29.957971163375667,6412,0.033950635
2025-11-01T23:51:22Z,0.019504,30.236893512358524,2438,0.030300927
2025-11-01T23:51:22Z,0.054056,29.952490530390776,6757,0.036526454
2025-11-01T23:51:22Z,0.022224,30.174038498165586,2778,0.030444612
2025-11-01T23:51:22Z,0.038032,29.949391242222973,4754,0.036372713
2025-11-01T23:51:22Z,0.040496,30.055133673910237,5062,0.031745021
